slice,slice_label,n_ops,pct_ops,n_patients,pct_patients,severe_aki_n,severe_aki_rate,op_len_median,op_len_q1,op_len_q3,op_len_mean,op_len_sd,antype_general_n,antype_general_pct,antype_mac_n,antype_mac_pct,antype_neuraxial_n,antype_neuraxial_pct,antype_regional_n,antype_regional_pct
overall,Overall cohort,60103,100.0,48550,100.0,2047,3.40582,130.0,80.0,215.0,160.704994,110.164599,52412,87.203634,725,1.206263,6966,11.590104,0,0.0
OS,Orthopedic Surgery,14790,24.607757,11312,23.299691,180,1.217039,85.0,60.0,135.0,110.491094,79.326865,8167,55.219743,39,0.263692,6584,44.516565,0,0.0
OT,Ophthalmology,476,0.791974,415,0.854789,79,16.596639,30.0,20.0,55.0,46.43829,45.678506,134,28.151261,342,71.848739,0,0.0,0,0.0
GS,General Surgery,16788,27.93205,14747,30.374871,673,4.008816,160.0,90.0,230.0,171.50546,99.326784,16562,98.6538,64,0.381225,162,0.964975,0,0.0
NS,Neurosurgery,9282,15.443489,7860,16.189495,83,0.894204,150.0,90.0,235.0,173.943404,105.110174,9241,99.558285,39,0.420168,2,0.021547,0,0.0
UR,Urology,5630,9.367253,5232,10.776519,230,4.085258,135.0,95.0,185.0,149.762495,83.497243,5450,96.802842,2,0.035524,178,3.161634,0,0.0
