icd10_pcs_5char,approach,nhsn_category,intraperitoneal_proxy,source,rationale
0LQ80,0,,0,default_zero_unmatched,unmatched_default_0
0LQQ0,0,,0,default_zero_unmatched,unmatched_default_0
0LS00,0,,0,default_zero_unmatched,unmatched_default_0
0LX00,0,,0,default_zero_unmatched,unmatched_default_0
0LX70,0,,0,default_zero_unmatched,unmatched_default_0
0LX80,0,,0,default_zero_unmatched,unmatched_default_0
0M6L0,0,,0,default_zero_unmatched,unmatched_default_0
0M87X,X,,0,default_zero_unmatched,unmatched_default_0
0M8L0,0,,0,default_zero_unmatched,unmatched_default_0
0M8N0,0,,0,default_zero_unmatched,unmatched_default_0
0M8R0,0,,0,default_zero_unmatched,unmatched_default_0
0M910,0,,0,default_zero_unmatched,unmatched_default_0
0M924,4,,0,default_zero_unmatched,unmatched_default_0
0M930,0,,0,default_zero_unmatched,unmatched_default_0
0M970,0,,0,default_zero_unmatched,unmatched_default_0
0M9L0,0,,0,default_zero_unmatched,unmatched_default_0
0M9MX,X,,0,default_zero_unmatched,unmatched_default_0
0M9N0,0,,0,default_zero_unmatched,unmatched_default_0
0M9N4,4,,0,default_zero_unmatched,unmatched_default_0
0M9P0,0,,0,default_zero_unmatched,unmatched_default_0
0M9P4,4,,0,default_zero_unmatched,unmatched_default_0
0M9Q0,0,,0,default_zero_unmatched,unmatched_default_0
0M9R0,0,,0,default_zero_unmatched,unmatched_default_0
0MB00,0,,0,default_zero_unmatched,unmatched_default_0
0MB14,4,,0,default_zero_unmatched,unmatched_default_0
0MB20,0,,0,default_zero_unmatched,unmatched_default_0
0MB24,4,,0,default_zero_unmatched,unmatched_default_0
0MB70,0,,0,default_zero_unmatched,unmatched_default_0
0MBL0,0,,0,default_zero_unmatched,unmatched_default_0
0MBN0,0,,0,default_zero_unmatched,unmatched_default_0
0MBN4,4,,0,default_zero_unmatched,unmatched_default_0
0MBNX,X,,0,default_zero_unmatched,unmatched_default_0
0MBP0,0,,0,default_zero_unmatched,unmatched_default_0
0MBP4,4,,0,default_zero_unmatched,unmatched_default_0
0MBPX,X,,0,default_zero_unmatched,unmatched_default_0
0MBQ4,4,,0,default_zero_unmatched,unmatched_default_0
0MBR4,4,,0,default_zero_unmatched,unmatched_default_0
0MBRX,X,,0,default_zero_unmatched,unmatched_default_0
0MBS0,0,,0,default_zero_unmatched,unmatched_default_0
0MBS4,4,,0,default_zero_unmatched,unmatched_default_0
0MBT0,0,,0,default_zero_unmatched,unmatched_default_0
0MBT4,4,,0,default_zero_unmatched,unmatched_default_0
0MD00,0,,0,default_zero_unmatched,unmatched_default_0
0MDL0,0,,0,default_zero_unmatched,unmatched_default_0
0MDN0,0,,0,default_zero_unmatched,unmatched_default_0
0MDNX,X,,0,default_zero_unmatched,unmatched_default_0
0MDPX,X,,0,default_zero_unmatched,unmatched_default_0
0MHN0,0,,0,default_zero_unmatched,unmatched_default_0
0MJN0,0,,0,default_zero_unmatched,unmatched_default_0
0MJP4,4,,0,default_zero_unmatched,unmatched_default_0
0MN00,0,,0,default_zero_unmatched,unmatched_default_0
0MN14,4,,0,default_zero_unmatched,unmatched_default_0
0MN24,4,,0,default_zero_unmatched,unmatched_default_0
0MN80,0,,0,default_zero_unmatched,unmatched_default_0
0MNN4,4,,0,default_zero_unmatched,unmatched_default_0
0MNP0,0,,0,default_zero_unmatched,unmatched_default_0
0MQ50,0,,0,default_zero_unmatched,unmatched_default_0
0MQN0,0,,0,default_zero_unmatched,unmatched_default_0
0MQN4,4,,0,default_zero_unmatched,unmatched_default_0
0MQP0,0,,0,default_zero_unmatched,unmatched_default_0
0MQP4,4,,0,default_zero_unmatched,unmatched_default_0
0MR8X,X,,0,default_zero_unmatched,unmatched_default_0
0MRS0,0,,0,default_zero_unmatched,unmatched_default_0
0MWN0,0,,0,default_zero_unmatched,unmatched_default_0
0MX20,0,,0,default_zero_unmatched,unmatched_default_0
0N000,0,,0,default_zero_unmatched,unmatched_default_0
0N0B0,0,,0,default_zero_unmatched,unmatched_default_0
0N0C0,0,,0,default_zero_unmatched,unmatched_default_0
0N0R0,0,,0,default_zero_unmatched,unmatched_default_0
0N0RX,X,,0,default_zero_unmatched,unmatched_default_0
0N2Q0,0,,0,default_zero_unmatched,unmatched_default_0
0N6T0,0,,0,default_zero_unmatched,unmatched_default_0
0N8R0,0,,0,default_zero_unmatched,unmatched_default_0
0N8T0,0,,0,default_zero_unmatched,unmatched_default_0
0N900,0,,0,default_zero_unmatched,unmatched_default_0
0N9T0,0,,0,default_zero_unmatched,unmatched_default_0
0NB00,0,,0,default_zero_unmatched,unmatched_default_0
0NBC0,0,,0,default_zero_unmatched,unmatched_default_0
0NBP0,0,,0,default_zero_unmatched,unmatched_default_0
0NBQ0,0,,0,default_zero_unmatched,unmatched_default_0
0NBR0,0,,0,default_zero_unmatched,unmatched_default_0
0NBT0,0,,0,default_zero_unmatched,unmatched_default_0
0NBV0,0,,0,default_zero_unmatched,unmatched_default_0
0NDQ0,0,,0,default_zero_unmatched,unmatched_default_0
0NDTX,X,,0,default_zero_unmatched,unmatched_default_0
0NGT0,0,,0,default_zero_unmatched,unmatched_default_0
0NH00,0,,0,default_zero_unmatched,unmatched_default_0
0NHC0,0,,0,default_zero_unmatched,unmatched_default_0
0NHC3,3,,0,default_zero_unmatched,unmatched_default_0
0NHM0,0,,0,default_zero_unmatched,unmatched_default_0
0NHN0,0,,0,default_zero_unmatched,unmatched_default_0
0NHP0,0,,0,default_zero_unmatched,unmatched_default_0
0NHQ0,0,,0,default_zero_unmatched,unmatched_default_0
0NHQ3,3,,0,default_zero_unmatched,unmatched_default_0
0NHR0,0,,0,default_zero_unmatched,unmatched_default_0
0NHT0,0,,0,default_zero_unmatched,unmatched_default_0
0NHV0,0,,0,default_zero_unmatched,unmatched_default_0
0NNR0,0,,0,default_zero_unmatched,unmatched_default_0
