icd10_pcs_5char,approach,nhsn_category,intraperitoneal_proxy,source,rationale
0QSF0,0,,0,default_zero_unmatched,unmatched_default_0
0QSF3,3,,0,default_zero_unmatched,unmatched_default_0
0QSG0,0,FX,0,cdc_nhsn_primary,FX + approach 0 -> 0
0QSG3,3,,0,default_zero_unmatched,unmatched_default_0
0QSH0,0,FX,0,cdc_nhsn_primary,FX + approach 0 -> 0
0QSL0,0,,0,default_zero_unmatched,unmatched_default_0
0QSM0,0,,0,default_zero_unmatched,unmatched_default_0
0QSR0,0,,0,default_zero_unmatched,unmatched_default_0
0QT70,0,,0,default_zero_unmatched,unmatched_default_0
0QTL0,0,,0,default_zero_unmatched,unmatched_default_0
0QTM0,0,,0,default_zero_unmatched,unmatched_default_0
0QW60,0,,0,default_zero_unmatched,unmatched_default_0
0QXG0,0,,0,default_zero_unmatched,unmatched_default_0
0R1M0,0,,0,default_zero_unmatched,unmatched_default_0
0R300,0,,0,default_zero_unmatched,unmatched_default_0
0R800,0,,0,default_zero_unmatched,unmatched_default_0
0R8P0,0,,0,default_zero_unmatched,unmatched_default_0
0R900,0,,0,default_zero_unmatched,unmatched_default_0
0R930,0,,0,default_zero_unmatched,unmatched_default_0
0RB00,0,,0,default_zero_unmatched,unmatched_default_0
0RB04,4,,0,default_zero_unmatched,unmatched_default_0
0RB0X,X,,0,default_zero_unmatched,unmatched_default_0
0RB30,0,,0,default_zero_unmatched,unmatched_default_0
0RB60,0,,0,default_zero_unmatched,unmatched_default_0
0RBE0,0,,0,default_zero_unmatched,unmatched_default_0
0RBF0,0,,0,default_zero_unmatched,unmatched_default_0
0RBF4,4,,0,default_zero_unmatched,unmatched_default_0
0RBJ4,4,,0,default_zero_unmatched,unmatched_default_0
0RBK4,4,,0,default_zero_unmatched,unmatched_default_0
0RBL0,0,,0,default_zero_unmatched,unmatched_default_0
0RBM0,0,,0,default_zero_unmatched,unmatched_default_0
0RBN0,0,,0,default_zero_unmatched,unmatched_default_0
0RBP0,0,,0,default_zero_unmatched,unmatched_default_0
0RBR0,0,,0,default_zero_unmatched,unmatched_default_0
0RBW0,0,,0,default_zero_unmatched,unmatched_default_0
